path,e_bind_dft,e_bind_reaxff,abs_error
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-2.387,-3.597057861329429,-3.589499999999873,0.007557861329555937
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-7.0,1.089291758295501,1.0895000000002142,0.0002082417047131191
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-1.6,46.35166551658384,43.94890000000004,2.4027655165838055
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-1.8,12.87080900512202,7.663100000000384,5.207709005121636
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-2.2,-2.88326373981618,-2.475399999999638,0.40786373981654167
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-2.8,-2.696843113960562,-2.5814999999996076,0.11534311396095465
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-3.5,-0.2365963014672091,-0.5129000000000019,0.2763036985327928
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-5.0,0.8964703490358681,0.6094000000004485,0.2870703490354196
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-5.5,0.9933461920189915,0.7994000000000483,0.19394619201894325
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-6.5,1.073605734116041,1.0292000000001167,0.0444057341159243
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-2.1,-1.599355973022318,-1.523799999999767,0.07555597302255102
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-2.5,-3.5108359235370967,-3.4861999999996556,0.02463592353744115
0.0700_1.4000_16.0000_0.0548_1.4037_16.0562/O-head/O-head-3.0,-1.364119342219571,-1.3132999999996287,0.05081934221994233
